1,ACT201,1,IAC,MW 01:00 PM - 02:30 PM,NAC201,35 (34)
2,ACT201,2,MRe,MW 01:00 PM - 02:30 PM,NAC202,37 (37)
3,ACT201,3,RNH,MW 01:00 PM - 02:30 PM,NAC301,32 (35)
4,ACT201,4,RNH,MW 02:40 PM - 04:10 PM,NAC201,34 (35)
5,ACT201,5,Aru,MW 02:40 PM - 04:10 PM,NAC202,35 (35)
6,ACT201,6,RMH1,MW 08:00 AM - 09:30 AM,NAC202,35 (35)
7,ACT201,7,RMH1,MW 09:40 AM - 11:10 AM,NAC201,35 (35)
8,ACT201,8,KSd1,RA 08:00 AM - 09:30 AM,NAC216,34 (35)
9,ACT201,9,KSd1,RA 09:40 AM - 11:10 AM,NAC301,35 (35)
10,ACT201,10,KHM,RA 09:40 AM - 11:10 AM,NAC302,35 (35)
11,ACT201,11,SHA1,RA 11:20 AM - 12:50 PM,NAC401,35 (35)
12,ACT201,12,ASy,ST 01:00 PM - 02:30 PM,NAC202,36 (36)
13,ACT201,13,SaT,ST 01:00 PM - 02:30 PM,NAC207,35 (35)
14,ACT201,14,TsA,ST 01:00 PM - 02:30 PM,NAC301,35 (35)
15,ACT201,15,SoR,ST 01:00 PM - 02:30 PM,NAC302,35 (35)
16,ACT201,16,KHT,ST 02:40 PM - 04:10 PM,NAC201,33 (35)
17,ACT201,17,SaT,ST 02:40 PM - 04:10 PM,NAC202,35 (35)
18,ACT201,18,Aru,ST 04:20 PM - 05:50 PM,NAC302,35 (35)
19,ACT201,19,RMH1,ST 08:00 AM - 09:30 AM,NAC201,35 (35)
20,ACT201,20,ASy,ST 09:40 AM - 11:10 AM,NAC201,35 (35)
21,ACT201,21,Sys,ST 09:40 AM - 11:10 AM,NAC202,35 (35)
22,ACT201,22,KHT,ST 11:20 AM - 12:50 PM,NAC201,34 (35)
23,ACT201,23,MdM,ST 11:20 AM - 12:50 PM,NAC301,35 (35)
24,ACT201,24,Anb,ST 11:20 AM - 12:50 PM,NAC203,32 (35)
25,ACT201,25,AhU,RA 09:40 AM - 11:10 AM,NAC410,35 (35)
26,ACT201,26,MRe,MW 08:00 AM - 09:30 AM,NAC503,35 (35)
27,ACT201,27,TBA,MW 04:20 PM - 05:50 PM,NAC620,0 (0)
28,ACT201,28,SHA1,RA 02:40 PM - 04:10 PM,NAC619,25 (35)
29,ACT202,1,SoR,ST 09:40 AM - 11:10 AM,NAC502,35 (35)
30,ACT202,2,TsA,MW 01:00 PM - 02:30 PM,NAC308,35 (35)
31,ACT202,3,TsA,MW 02:40 PM - 04:10 PM,NAC207,35 (35)
32,ACT202,4,SoR,MW 08:00 AM - 09:30 AM,NAC210,35 (35)
33,ACT202,5,Rkb,MW 09:40 AM - 11:10 AM,NAC202,35 (35)
34,ACT202,6,Sys,ST 11:20 AM - 12:50 PM,NAC509,35 (35)
35,ACT202,7,BFK,RA 02:40 PM - 04:10 PM,NAC211,35 (35)
36,ACT202,8,FHW,RA 02:40 PM - 04:10 PM,NAC619A,30 (35)
37,ACT202,9,Aru,RA 04:20 PM - 05:50 PM,NAC211,35 (35)
38,ACT202,10,FHW,RA 04:20 PM - 05:50 PM,NAC619A,32 (35)
39,ACT202,11,Trq,RA 08:00 AM - 09:30 AM,NAC401,33 (35)
40,ACT202,12,MRe,RA 09:40 AM - 11:10 AM,NAC314,37 (37)
41,ACT202,13,BFK,ST 02:40 PM - 04:10 PM,NAC301,35 (35)
42,ACT202,14,BFK,ST 04:20 PM - 05:50 PM,NAC305,35 (36)
43,ACT202,15,Rby,ST 11:20 AM - 12:50 PM,NAC202,36 (36)
44,ACT202,16,BFK,ST 01:00 PM - 02:30 PM,NAC621,35 (35)
45,ACT202,17,MGR,ST 02:40 PM - 04:10 PM,NAC621,36 (36)
46,ACT202,18,Rby,ST 08:00 AM - 09:30 AM,NAC413,35 (35)
47,ACT202,19,Sys,ST 08:00 AM - 09:30 AM,NAC604,35 (35)
48,ACT310,1,Rkb,MW 01:00 PM - 02:30 PM,NAC402,35 (35)
49,ACT310,2,Rby,MW 11:20 AM - 12:50 PM,NAC201,35 (35)
50,ACT310,3,MGR,ST 09:40 AM - 11:10 AM,NAC207,26 (35)
51,ACT310,4,MGR,ST 11:20 AM - 12:50 PM,NAC302,35 (35)
52,ACT320,1,Rkb,MW 02:40 PM - 04:10 PM,NAC301,35 (35)
53,ACT320,2,MGR,MW 09:40 AM - 11:10 AM,NAC302,35 (35)
54,ACT320,3,MGR,MW 11:20 AM - 12:50 PM,NAC202,35 (35)
55,ACT320,4,RMH1,ST 11:20 AM - 12:50 PM,NAC315,35 (35)
56,ACT322,1,KSR,MW 08:00 AM - 09:30 AM,NAC301,35 (35)
57,ACT322,2,AhU,RA 02:40 PM - 04:10 PM,NAC302,35 (35)
58,ACT322,3,AhU,RA 04:20 PM - 05:50 PM,NAC402,18 (35)
59,ACT322,4,KSR,ST 08:00 AM - 09:30 AM,NAC202,35 (35)
60,ACT330,1,Ani,MW 08:00 AM - 09:30 AM,NAC311,14 (35)
61,ACT330,2,Rby,MW 09:40 AM - 11:10 AM,NAC314,36 (36)
62,ACT330,3,Ani,MW 11:20 AM - 12:50 PM,NAC207,35 (35)
63,ACT333,1,Rby,ST 02:40 PM - 04:10 PM,NAC302,36 (36)
64,ACT333,2,Ani,ST 08:00 AM - 09:30 AM,NAC216,36 (36)
65,ACT333,3,Ani,ST 11:20 AM - 12:50 PM,NAC402,36 (36)
66,ACT341,1,AhU,MW 02:40 PM - 04:10 PM,NAC302,35 (36)
67,ACT410,1,TkS,MW 04:20 PM - 05:50 PM,NAC213,35 (35)
68,ACT410,2,MRe,MW 09:40 AM - 11:10 AM,NAC315,37 (37)
69,ACT431,1,AhU,MW 04:20 PM - 05:50 PM,NAC214,36 (36)
70,ANT101,1,BSq,ST 09:40 AM - 11:10 AM,NAC211,35 (35)
71,ANT101,2,BSq,MW 09:40 AM - 11:10 AM,NAC307,32 (35)
72,ANT101,3,MHR3,MW 02:40 PM - 04:10 PM,NAC306,35 (35)
73,ANT101,5,TZf,ST 02:40 PM - 04:10 PM,NAC413,35 (35)
74,ANT101,6,NN,ST 09:40 AM - 11:10 AM,NAC619A,35 (35)
