1,ACT201,1,NNh,MW 01:00 PM - 02:30 PM,NAC201,40 (40)
2,ACT201,2,RNH,MW 01:00 PM - 02:30 PM,NAC202,40 (40)
3,ACT201,3,TkS,MW 01:00 PM - 02:30 PM,NAC307,40 (40)
4,ACT201,4,RNH,MW 02:40 PM - 04:10 PM,NAC201,40 (40)
5,ACT201,5,RMH1,MW 08:00 AM - 09:30 AM,NAC202,40 (40)
6,ACT201,6,RMH1,MW 09:40 AM - 11:10 AM,NAC201,40 (40)
7,ACT201,7,TsA,ST 01:00 PM - 02:30 PM,NAC302,40 (40)
8,ACT201,8,TBA,ST 02:40 PM - 04:10 PM,NAC202,40 (40)
9,ACT201,9,SaT,ST 02:40 PM - 04:10 PM,NAC301,40 (40)
10,ACT201,10,Sbr,ST 08:00 AM - 09:30 AM,NAC413,40 (40)
11,ACT201,11,Sbr,ST 09:40 AM - 11:10 AM,NAC201,40 (40)
12,ACT201,12,MRe,MW 01:00 PM - 02:30 PM,NAC402,41 (41)
13,ACT201,13,RMB,MW 01:00 PM - 02:30 PM,NAC414,40 (40)
14,ACT201,14,AhU,MW 02:40 PM - 04:10 PM,NAC202,40 (40)
15,ACT201,15,NNh,MW 02:40 PM - 04:10 PM,NAC207,40 (40)
16,ACT201,16,MdM,ST 11:20 AM - 12:50 PM,NAC202,40 (40)
17,ACT201,17,SaT,ST 11:20 AM - 12:50 PM,NAC203,40 (40)
18,ACT201,18,RMB,MW 04:20 PM - 05:50 PM,NAC504,40 (40)
19,ACT201,19,Aru,MW 08:00 AM - 09:30 AM,NAC301,40 (40)
20,ACT201,20,IAC,MW 08:00 AM - 09:30 AM,NAC311,40 (40)
21,ACT201,21,KHM,RA 08:00 AM - 09:30 AM,SAC305,40 (40)
22,ACT201,22,SHA1,RA 11:20 AM - 12:50 PM,NAC402,40 (40)
23,ACT201,23,ASy,ST 01:00 PM - 02:30 PM,NAC202,40 (40)
24,ACT201,24,KHT,ST 02:40 PM - 04:10 PM,NAC201,40 (40)
25,ACT201,25,ASy,ST 02:40 PM - 04:10 PM,NAC302,40 (40)
26,ACT201,26,KHT,ST 11:20 AM - 12:50 PM,NAC201,40 (40)
27,ACT201,27,TBA,MW 04:20 PM - 05:50 PM,NAC602,40 (40)
28,ACT201,28,KSR,RA 08:00 AM - 09:30 AM,NAC601,10 (40)
29,ACT201,29,TBA,ST 04:20 PM - 05:50 PM,NAC604,40 (40)
30,ACT201,30,TBA,MW 08:00 AM - 09:30 AM,NAC604,24 (40)
31,ACT202,1,Rby,ST 11:20 AM - 12:50 PM,NAC302,35 (35)
32,ACT202,2,Sys,MW 01:00 PM - 02:30 PM,NAC501,35 (35)
33,ACT202,3,TsA,MW 01:00 PM - 02:30 PM,NAC301,35 (35)
34,ACT202,4,Rkb,MW 02:40 PM - 04:10 PM,NAC301,35 (35)
35,ACT202,5,TsA,MW 02:40 PM - 04:10 PM,NAC501,35 (35)
36,ACT202,6,Sbr,MW 08:00 AM - 09:30 AM,NAC313,35 (35)
37,ACT202,7,Rkb,MW 09:40 AM - 11:10 AM,NAC301,35 (35)
38,ACT202,8,Sbr,MW 09:40 AM - 11:10 AM,NAC302,35 (35)
39,ACT202,9,FHW,RA 02:40 PM - 04:10 PM,SAC304,35 (35)
40,ACT202,10,FHW,RA 04:20 PM - 05:50 PM,NAC302,25 (35)
41,ACT202,11,Trq,RA 08:00 AM - 09:30 AM,NAC502,13 (35)
42,ACT202,12,BFK,RA 09:40 AM - 11:10 AM,NAC301,17 (35)
43,ACT202,13,KHM,RA 09:40 AM - 11:10 AM,NAC302,35 (35)
44,ACT202,14,MRe,RA 09:40 AM - 11:10 AM,NAC314,35 (35)
45,ACT202,15,BFK,RA 11:20 AM - 12:50 PM,NAC502,35 (35)
46,ACT202,16,MRe,RA 11:20 AM - 12:50 PM,NAC401,35 (35)
