1.,ACT201,1,TBA,MW 01:00 PM - 02:30 PM,NAC201,2 (35)
2.,ACT201,2,TBA,MW 01:00 PM - 02:30 PM,NAC202,3 (35)
3.,ACT201,3,TBA,MW 01:00 PM - 02:30 PM,NAC301,13 (35)
4.,ACT201,4,TBA,MW 02:40 PM - 04:10 PM,NAC201,1 (35)
5.,ACT201,5,TBA,MW 02:40 PM - 04:10 PM,NAC202,0 (35)
6.,ACT201,6,TBA,MW 08:00 AM - 09:30 AM,NAC202,0 (35)
7.,ACT201,7,TBA,MW 09:40 AM - 11:10 AM,NAC201,4 (35)
8.,ACT201,8,TBA,RA 08:00 AM - 09:30 AM,NAC216,4 (35)
9.,ACT201,9,TBA,RA 09:40 AM - 11:10 AM,NAC301,0 (35)
10.,ACT201,10,TBA,RA 09:40 AM - 11:10 AM,NAC302,4 (35)
11.,ACT201,11,TBA,RA 11:20 AM - 12:50 PM,NAC401,1 (35)
12.,ACT201,12,TBA,ST 01:00 PM - 02:30 PM,NAC202,0 (35)
13.,ACT201,13,TBA,ST 01:00 PM - 02:30 PM,NAC207,2 (35)
14.,ACT201,14,TBA,ST 01:00 PM - 02:30 PM,NAC301,6 (35)
15.,ACT201,15,TBA,ST 01:00 PM - 02:30 PM,NAC302,0 (35)
16.,ACT201,16,TBA,ST 02:40 PM - 04:10 PM,NAC201,1 (35)
17.,ACT201,17,TBA,ST 02:40 PM - 04:10 PM,NAC202,0 (35)
18.,ACT201,18,TBA,ST 04:20 PM - 05:50 PM,NAC302,1 (35)
19.,ACT201,19,TBA,ST 08:00 AM - 09:30 AM,NAC201,0 (35)
20.,ACT201,20,TBA,ST 09:40 AM - 11:10 AM,NAC201,1 (35)
21.,ACT201,21,TBA,ST 09:40 AM - 11:10 AM,NAC202,0 (35)
22.,ACT201,22,TBA,ST 11:20 AM - 12:50 PM,NAC201,2 (35)
23.,ACT201,23,TBA,ST 11:20 AM - 12:50 PM,NAC301,1 (35)
24.,ACT201,24,TBA,ST 11:20 AM - 12:50 PM,NAC203,0 (35)
25.,ACT201,25,TBA,RA 09:40 AM - 11:10 AM,NAC410,2 (35)
26.,ACT201,26,TBA,MW 08:00 AM - 09:30 AM,NAC503,1 (35)
27.,ACT202,1,TBA,ST 09:40 AM - 11:10 AM,NAC502,2 (35)
28.,ACT202,2,TBA,MW 01:00 PM - 02:30 PM,NAC308,19 (35)
29.,ACT202,3,TBA,MW 02:40 PM - 04:10 PM,NAC207,10 (35)
30.,ACT202,4,TBA,MW 08:00 AM - 09:30 AM,NAC210,1 (35)
