1.,ACT201,1,IAC,MW 01:00 PM - 02:30 PM,NAC201,35 (35)
2.,ACT201,2,MRe,MW 01:00 PM - 02:30 PM,NAC202,35 (35)
3.,ACT201,3,RNH,MW 01:00 PM - 02:30 PM,NAC301,35 (35)
4.,ACT201,4,RNH,MW 02:40 PM - 04:10 PM,NAC201,35 (35)
5.,ACT201,5,Aru,MW 02:40 PM - 04:10 PM,NAC202,35 (35)
6.,ACT201,6,RMH1,MW 08:00 AM - 09:30 AM,NAC202,34 (35)
7.,ACT201,7,RMH1,MW 09:40 AM - 11:10 AM,NAC201,35 (35)
8.,ACT201,8,TBA,RA 08:00 AM - 09:30 AM,NAC216,35 (35)
9.,ACT201,9,TBA,RA 09:40 AM - 11:10 AM,NAC301,35 (35)
10.,ACT201,10,KHM,RA 09:40 AM - 11:10 AM,NAC302,35 (35)
11.,ACT201,11,SHA1,RA 11:20 AM - 12:50 PM,NAC401,35 (35)
12.,ACT201,12,ASy,ST 01:00 PM - 02:30 PM,NAC202,36 (36)
13.,ACT201,13,SaT,ST 01:00 PM - 02:30 PM,NAC207,35 (35)
14.,ACT201,14,TsA,ST 01:00 PM - 02:30 PM,NAC301,35 (35)
15.,ACT201,15,SoR,ST 01:00 PM - 02:30 PM,NAC302,35 (35)
16.,ACT201,16,KHT,ST 02:40 PM - 04:10 PM,NAC201,35 (35)
17.,ACT201,17,SaT,ST 02:40 PM - 04:10 PM,NAC202,35 (35)
18.,ACT201,18,Aru,ST 04:20 PM - 05:50 PM,NAC302,13 (35)
19.,ACT201,19,RMH1,ST 08:00 AM - 09:30 AM,NAC201,20 (35)
20.,ACT201,20,ASy,ST 09:40 AM - 11:10 AM,NAC201,35 (35)
21.,ACT201,21,Sys,ST 09:40 AM - 11:10 AM,NAC202,35 (35)
22.,ACT201,22,KHT,ST 11:20 AM - 12:50 PM,NAC201,35 (35)
23.,ACT201,23,MdM,ST 11:20 AM - 12:50 PM,NAC301,35 (35)
24.,ACT201,24,Anb,ST 11:20 AM - 12:50 PM,NAC203,35 (35)
25.,ACT201,25,AhU,RA 09:40 AM - 11:10 AM,NAC410,35 (35)
26.,ACT201,26,MRe,MW 08:00 AM - 09:30 AM,NAC503,35 (35)
27.,ACT201,27,TBA,MW 04:20 PM - 05:50 PM,NAC620,0 (0)
28.,ACT201,28,SHA1,RA 02:40 PM - 04:10 PM,NAC619,34 (35)
